x	y	wavelength
57.01	759	1.8432782
747.19	759	1.69456511
841.87	759	1.67444605
945.79	759	1.65239351
1195.5	759	1.59942144
1637.49	759	1.50505569
45.79	749	1.84319168
285.53	749	1.79218631
508.8	749	1.74489767
747.76	749	1.69438711
1196.03	749	1.59949368
1638.12	749	1.50503356
41.82	739	1.84326487
286.18	739	1.79200344
509.48	739	1.74495793
748.39	739	1.69449152
843.14	739	1.67445775
947.07	739	1.65247672
1646.02	739	1.50505775
42.52	729	1.84326495
286.7	729	1.79200128
510.13	729	1.74495898
749.05	729	1.69450302
1197.31	729	1.59940596
1639.29	729	1.50505581
510.74	719	1.74497761
749.64	719	1.69452863
844.37	719	1.67447432
948.39	719	1.65242374
1197.91	719	1.59939639
1639.79	719	1.50505931
48.37	709	1.84326871
511.38	709	1.74504629
750.28	709	1.69448667
845.04	709	1.67442733
948.99	709	1.65240836
1198.5	709	1.59945477
1640.42	709	1.50504788
49.16	700	1.84327282
511.51	700	1.74500607
750.28	700	1.69455384
845.31	700	1.67447869
950.21	700	1.65230587
1199.53	700	1.59947514
1640.77	700	1.50504757
50.23	680	1.84326583
512.87	680	1.74506467
751.99	680	1.69446931
846.72	680	1.67442247
950.71	680	1.65240414
1200.21	680	1.59946844
1642.06	680	1.50504513
513.7	669	1.744978
752.7	669	1.69452677
847.4	669	1.67447491
951.37	669	1.65242534
1200.77	669	1.59939557
1642.59	669	1.50505941
54.76	659	1.84325942
514.25	659	1.74510137
753.22	659	1.69445116
847.96	659	1.67439712
951.93	659	1.65238933
1201.37	659	1.59950295
1643.23	659	1.50503864
102.44	649	1.84327741
326.28	649	1.79196772
753.8	649	1.69446848
841.36	649	1.67454155
938.61	649	1.65241484
1584.68	649	1.50506

