x 	y 	wavelength
239.1	927.9	2.39731
240	918.2	2.39731
240.3	908.6	2.39731
241.2	898.9	2.39731
242.1	889	2.39731
242.9	879.2	2.39731
243.8	869.4	2.39731
245	849.8	2.39731
245.9	839.9	2.39731
246.2	830	2.39731
247.1	820.1	2.39731
282.2	928	2.38515
283.1	918.3	2.38515
283.9	908.8	2.38515
284.8	899	2.38515
285.1	889.1	2.38515
286	879.3	2.38515
286.9	869.6	2.38515
288.1	849.9	2.38515
288.9	840	2.38515
289.8	830.1	2.38515
290.1	820.2	2.38515
910	929.8	2.20832
240.42	920	2.3973692
284.2	920	2.38508533
537.32	920	2.31394312
911.72	920	2.2083387
1103.73	920	2.15401235
1174.8	920	2.13387801
1297.16	920	2.09917727
1427.49	920	2.06217145
1656.27	920	1.99710048
1708.2	920	1.98231407
241.67	908	2.39736016
284.92	908	2.38516039
538.04	908	2.31381655
912.43	908	2.20828683
1104.44	908	2.15407688
1175.55	908	2.13397333
1297.86	908	2.09935042
1428.18	908	2.06238984
1533.41	908	2.03248471
1656.98	908	1.99728663
1708.91	908	1.98246426
1104.44	908	2.15407688
242.38	899	2.39730705
285.63	899	2.38518258
539.38	899	2.31387422
913.12	899	2.20839039
1105.14	899	2.1540192
1176.19	899	2.13387854
1298.55	899	2.09916072
1428.87	899	2.06215074
1657.66	899	1.9971081
1709.65	899	1.98231847
243.12	889	2.39729797
286.31	889	2.38516639
539.5	889	2.31394305
913.86	889	2.20832691
1105.92	889	2.15399362
1176.93	889	2.13387923
1299.27	889	2.09918989
1429.61	889	2.06218385
1658.36	889	1.99711199
1710.37	889	1.9822971
243.88	878	2.39731106
502.06	878	2.31393485
849.95	878	2.20842939
1042.64	878	2.15380013
1244.23	878	2.09936351
1388.03	878	2.06211808
1649.8	878	1.99712669
1711.03	878	1.98228629
244.61	869	2.39730316
812.09	869	2.20842166
1013.66	869	2.15383511
1094.13	869	2.13384746
1244.2	869	2.09930156
1589.09	869	2.03324129
1963	869	1.98228978
246.04	850	2.39723832
289.19	850	2.38517925
542.33	850	2.31407852
916.7	850	2.20825874
1108.97	850	2.15383724
1179.77	850	2.13381462
1302.08	850	2.09927151
1432.41	850	2.06255596
1537.64	850	2.03300585
246.71	841	2.39728971
289.84	841	2.38517336
543.02	841	2.31394692
917.35	841	2.20834138
1109.63	841	2.15394448
1180.42	841	2.13389276
1302.74	841	2.0992039
1433.06	841	2.06219533
1661.8	841	1.9971049
1713.75	841	1.98229727
247.42	830	2.39724839
290.51	830	2.38517449
543.71	830	2.31403723
918.03	830	2.20836552
1110.29	830	2.15390239
1181.12	830	2.1338087
1303.41	830	2.09909034
1433.76	830	2.06204885
1533.09	830	2.03380309
1662.49	830	1.99698181
1714.46	830	1.9821892
248.09	820	2.39729046
291.21	820	2.38517445
544.4	820	2.31394379
918.73	820	2.20832967
1110.84	820	2.15397591
1181.75	820	2.1338884
1304.09	820	2.09919526
1434.42	820	2.06218385
1663.11	820	1.9971135
1715.11	820	1.98229471

