x	y	wavelength								
661.43	625	1.37224646								
788.12	625	1.35077168								
868.96	625	1.33706395								
1110.66	625	1.29602096								
1201.01	625	1.28064361								
1259.86	625	1.27061418								
1386.04	625	1.24906573								
1861.17	625	1.16719342								
662.54	610	1.37230945								
789	610	1.35074869								
869.6	610	1.33699107								
1111.11	610	1.2959004								
1201.48	610	1.28065378								
1260.38	610	1.27077445								
1911	610	1.16700802								
2032.18	610	1.14924414								
662.7	602	1.37216255								
789.26	602	1.35083711								
870.08	602	1.33715408								
1111.64	602	1.29602922								
1201.89	602	1.2805974								
1260.43	602	1.27057341								
1386.19	602	1.24901496								
1862.51	602	1.16738194								
1970.32	602	1.14898933								
663.09	598	1.3722348								
789.81	598	1.35078152								
870.57	598	1.33707668								
1111.65	598	1.29604305								
1201.99	598	1.28062286								
1260.94	598	1.27055161								
1386.25	598	1.24911948								
663.68	587	1.37221996								
790.34	587	1.35078035								
871.15	587	1.33708469								
1112.16	587	1.29609718								
1202.51	587	1.28065728								
1261.44	587	1.27056191								
1386.98	587	1.24897174								
1854.25	587	1.16735707								
1957.4	587	1.14900982								
664.74	562	1.37219616								
791.43	562	1.35082606								
872.22	562	1.33712341								
1113.75	562	1.29595872								
1203.71	562	1.28060086								
1262.52	562	1.27056745								
1388.26	562	1.24916242								
1878.34	562	1.16718491								
665.83	542	1.37215774								
792.53	542	1.35086314								
873.32	542	1.33717164								
1114.79	542	1.29595012								
1205.03	542	1.28050863								
1263.35	542	1.27053989								
1388.29	542	1.2492509								
1883	542	1.16717793								
666.8	528	1.37217678								
793.27	528	1.35079975								
873.84	528	1.33715417								
1115.27	528	1.29608809								
1205.6	528	1.28063714								
1264.47	528	1.27053942								
1389.84	528	1.24894554								
1855.42	528	1.16746303								
1959.36	528	1.14893608								
667.31	517	1.37224571								
793.86	517	1.35075711								
874.43	517	1.33708315								
1115.77	517	1.29605699								
1264.98	517	1.27055594								
1856	517	1.1671911								
793.98	509	1.3722216								
874.81	509	1.35079509								
930.49	509	1.33709475								
1206.4	509	1.28053681								
1265.07	509	1.27066504								
1409.25	509	1.24909671	
