x	y	wavelength
176.26	379	1.21408328
195.7	379	1.21108254
307.78	379	1.19378431
449.78	379	1.17186272
479.99	379	1.16719812
595.69	379	1.14933128
1128.79	379	1.0669897
1258.5	379	1.04695618
1782.91	379	0.96601187
44.61	389	1.23395159
175.72	389	1.21409105
195.37	389	1.21109804
256.43	389	1.2017701
306.09	389	1.19416168
449.88	389	1.17205345
598.33	389	1.14917765
1139.05	389	1.06699643
175.36	401	1.21401354
194.83	401	1.21099659
595.9	401	1.14903708
861.95	401	1.10808907
992.52	401	1.08801648
1129.61	401	1.06695109
1259.52	401	1.04699002
1707.98	401	0.97800613
46.07	411	1.23405128
174.9	411	1.21411932
194.48	411	1.21109647
255.51	411	1.20168259
410.32	411	1.177861
596.98	411	1.14922197
864.82	411	1.10822822
1135.02	411	1.06689701
1265.58	411	1.04690621
1713.38	411	0.97803592
41.57	432	1.23404706
173.97	432	1.21390523
193.52	432	1.21092492
304.34	432	1.19399817
407.51	432	1.17819807
480.5	432	1.16700097
596.66	432	1.14915353
865.4	432	1.10778345
1259.59	432	1.04709767
1710.96	432	0.97803636
1790.49	432	0.96595457
44.29	441	1.23390617
173.51	441	1.21408419
193.07	441	1.2110816
304.11	441	1.19402166
446.42	441	1.17213864
480.57	441	1.16688499
595.47	441	1.14920185
993.61	441	1.08792959
1259.6	441	1.04706158
1790	441	0.96598973
43.07	453	1.23404523
173.03	453	1.21408602
192.57	453	1.21108358
253.64	453	1.20169674
303.76	453	1.19399135
407.64	453	1.17801385
479.29	453	1.16698825
595.08	453	1.14916496
990.98	453	1.0882014
1129.19	453	1.06692266
1259.45	453	1.0468744
1707.4	453	0.97803156
172.51	462	1.21406118
192.09	462	1.2110881
253.21	462	1.20176866
304.31	462	1.19393529
407.07	462	1.17809875
477.66	462	1.16718122
595.44	462	1.14895785
862.81	462	1.10800174
996.48	462	1.0880072
41.18	480	1.23414001
171.71	480	1.21402765
191.24	480	1.21102096
252.34	480	1.2016174
302.87	480	1.19384501
405.07	480	1.1781342
441.64	480	1.17251629
478.49	480	1.16685585
659.17	480	1.13911891
1130.19	480	1.06688376
1259.68	480	1.04702536
1709.12	480	0.97801459
39.71	491	1.23410578
171.01	491	1.21400473
190.6	491	1.21100316
251.73	491	1.20163848
300.63	491	1.19414708
444.01	491	1.17217048
477.97	491	1.16696403
626.7	491	1.14416221
659.47	491	1.13913755
1132.73	491	1.06662673
1259.49	491	1.04723359
1712.97	491	0.97804225
1792.38	491	0.96596393

